Quarter,HB,HBName,Location,All Staffed Beds,Total Occupied Beds,Average Available Staffed Beds,Average Occupied Beds,Percentage Occupancy
2021Q3,S08000030,NHS Tayside,S08000030,102826,74572,1117.6739130434785,810.5652173913044,72.52251376111101
2020Q1,S08000028,NHS Western Isles,W107H,6337,4454,69.63736263736264,48.94505494505494,70.28562411235599
2020Q1,S08000028,NHS Western Isles,S08000028,6337,4454,69.63736263736264,48.94505494505494,70.28562411235599
2020Q2,S08000028,NHS Western Isles,W107H,5334,1901,58.61538461538461,20.89010989010989,35.63929508811399
2020Q2,S08000028,NHS Western Isles,S08000028,5334,1901,58.61538461538461,20.89010989010989,35.63929508811399
2020Q3,S08000028,NHS Western Isles,W107H,5903,2665,64.16304347826087,28.967391304347824,45.14653565983397
2020Q3,S08000028,NHS Western Isles,S08000028,5903,2665,64.16304347826087,28.967391304347824,45.14653565983397
2020Q4,S08000028,NHS Western Isles,W107H,6599,3440,71.72826086956522,37.391304347826086,52.129110471283525
2020Q4,S08000028,NHS Western Isles,S08000028,6599,3440,71.72826086956522,37.391304347826086,52.129110471283525
2021Q1,S08000028,NHS Western Isles,W107H,6680,3863,74.22222222222223,42.922222222222224,57.82934131736527
2021Q1,S08000028,NHS Western Isles,S08000028,6680,3863,74.22222222222223,42.922222222222224,57.82934131736527
2021Q2,S08000028,NHS Western Isles,W107H,6741,4156,74.07692307692308,45.67032967032967,61.65257380210652
2021Q2,S08000028,NHS Western Isles,S08000028,6741,4156,74.07692307692308,45.67032967032967,61.65257380210652
2021Q3,S08000028,NHS Western Isles,W107H,6832,4071,74.26086956521739,44.25,59.58723653395784
2021Q3,S08000028,NHS Western Isles,S08000028,6832,4071,74.26086956521739,44.25,59.58723653395784
2020Q1,S92000003,Scotland,S92000003,1226533,1022753,13478.384615384615,11239.043956043955,83.38568958193542
2020Q2,S92000003,Scotland,S92000003,1157700,712506,12721.978021978022,7829.736263736264,61.54495983415392
2020Q3,S92000003,Scotland,S92000003,1164931,892345,12662.29347826087,9699.402173913044,76.60067420302147
2020Q4,S92000003,Scotland,S92000003,1193954,949828,12977.760869565218,10324.217391304348,79.55314861376569
2021Q1,S92000003,Scotland,S92000003,1180684,954767,13118.711111111112,10608.522222222222,80.86558300104006
2021Q2,S92000003,Scotland,S92000003,1189154,975297,13067.626373626374,10717.54945054945,82.01603829276948
2021Q3,S92000003,Scotland,S92000003,1216760,1020933,13225.652173913044,11097.097826086956,83.90586475558038
