Quarter,Age,Gender,Location,Total Stays,Average Length of Stay (in days)
2021Q1,60-69 ,Female,Ayrshire and Arran,765,5
2021Q1,60-69 ,Male,Ayrshire and Arran,897,7
2021Q1,70-79 ,Female,Ayrshire and Arran,1010,7
2021Q1,70-79 ,Male,Ayrshire and Arran,1033,3
2021Q1,80-89 ,Female,Ayrshire and Arran,864,9
2021Q1,80-89 ,Male,Ayrshire and Arran,707,8
2021Q1,90 +,Female,Ayrshire and Arran,235,18
2021Q1,90 +,Male,Ayrshire and Arran,150,10
2021Q2,0-9 ,Female,Ayrshire and Arran,20,1
2021Q2,0-9 ,Male,Ayrshire and Arran,43,1
2021Q2,10-19 ,Female,Ayrshire and Arran,136,1
2021Q2,10-19 ,Male,Ayrshire and Arran,123,1
2021Q2,20-29 ,Female,Ayrshire and Arran,405,2
2021Q2,20-29 ,Male,Ayrshire and Arran,237,2
2021Q2,30-39 ,Female,Ayrshire and Arran,501,4
2021Q2,30-39 ,Male,Ayrshire and Arran,397,3
2021Q2,40-49 ,Female,Ayrshire and Arran,550,3
2021Q2,40-49 ,Male,Ayrshire and Arran,497,5
2021Q2,50-59 ,Female,Ayrshire and Arran,890,3
2021Q2,50-59 ,Male,Ayrshire and Arran,817,4
2021Q2,60-69 ,Female,Ayrshire and Arran,1040,5
2021Q2,60-69 ,Male,Ayrshire and Arran,1053,5
2021Q2,70-79 ,Female,Ayrshire and Arran,1209,6
2021Q2,70-79 ,Male,Ayrshire and Arran,1311,6
2021Q2,80-89 ,Female,Ayrshire and Arran,1102,9
2021Q2,80-89 ,Male,Ayrshire and Arran,874,8
2021Q2,90 +,Female,Ayrshire and Arran,271,9
2021Q2,90 +,Male,Ayrshire and Arran,160,7
2021Q3,0-9 ,Female,Ayrshire and Arran,28,1
2021Q3,0-9 ,Male,Ayrshire and Arran,40,1
2021Q3,10-19 ,Female,Ayrshire and Arran,117,3
2021Q3,10-19 ,Male,Ayrshire and Arran,95,2
2021Q3,20-29 ,Female,Ayrshire and Arran,383,2
2021Q3,20-29 ,Male,Ayrshire and Arran,285,2
2021Q3,30-39 ,Female,Ayrshire and Arran,490,2
2021Q3,30-39 ,Male,Ayrshire and Arran,396,2
2021Q3,40-49 ,Female,Ayrshire and Arran,552,4
2021Q3,40-49 ,Male,Ayrshire and Arran,464,3
2021Q3,50-59 ,Female,Ayrshire and Arran,835,4
2021Q3,50-59 ,Male,Ayrshire and Arran,867,4
2021Q3,60-69 ,Female,Ayrshire and Arran,1002,6
2021Q3,60-69 ,Male,Ayrshire and Arran,1102,5
2021Q3,70-79 ,Female,Ayrshire and Arran,1247,7
2021Q3,70-79 ,Male,Ayrshire and Arran,1299,7
2021Q3,80-89 ,Female,Ayrshire and Arran,972,13
2021Q3,80-89 ,Male,Ayrshire and Arran,854,4
2021Q3,90 +,Female,Ayrshire and Arran,285,16
2021Q3,90 +,Male,Ayrshire and Arran,131,14
2020Q1,0-9 ,Female,Borders,0,NA
2020Q1,0-9 ,Male,Borders,10,1
